year,gdp,ISO3
1806,1050,ATG
1806,1030,AUS
1806,2410,AUT
1806,880,AZE
1806,647,BDI
1806,3250,BEL
1806,1010,BEN
1806,733,BFA
1806,935,BGD
1806,1390,BGR
1806,1060,BHR
1806,2010,BHS
1806,1200,BIH
1806,1110,BLR
1806,804,BLZ
1806,1120,BOL
1806,1200,BRA
1806,1590,BRB
1806,2100,BRN
1806,874,BTN
1806,442,BWA
1806,593,CAF
1806,1780,CAN
1806,2720,CHE
1806,1180,CHL
1806,1260,CHN
1806,708,
1806,733,CMR
1806,430,
1806,709,
1806,1270,COL
1806,722,COM
1806,597,CPV
1806,1110,CRI
1806,903,CUB
1806,1180,CYP
1806,1980,CZE
1806,2180,DEU
1806,1150,DJI
1806,652,DMA
1806,2510,DNK
1806,791,DOM
1806,933,DZA
1806,635,ECU
1806,1320,EGY
1806,738,ERI
1806,2090,ESP
1806,1940,EST
1806,868,ETH
1806,1720,FIN
1806,1090,FJI
1806,2490,FRA
1806,722,
1806,610,GAB
1806,4560,GBR
1806,944,GEO
1806,924,GHA
1806,527,GIN
1806,968,GMB
1806,596,GNB
1806,444,GNQ
1806,1620,GRC
1806,1330,GRD
1806,1240,GTM
1806,1690,GUY
1806,1650,
1806,895,HND
1806,1150,HRV
1806,880,HTI
1806,1530,HUN
1806,1220,IDN
1806,1400,IND
1806,1660,IRL
1806,1220,IRN
1806,1210,IRQ
1806,1390,ISL
1806,1310,ISR
1806,3610,ITA
1806,1550,JAM
1806,1220,JOR
1806,1830,JPN
1806,1440,KAZ
1806,894,KEN
1806,736,
1806,869,KHM
1806,769,KIR
1806,1620,
1806,1130,KOR
1806,1560,KWT
1806,1030,
1806,1490,LBN
1806,1140,LBR
1806,1250,LBY
1806,784,
1806,1220,LKA
1806,533,LSO
1806,1680,LTU
1806,2190,LUX
1806,1190,LVA
1806,967,MAR
1806,2720,MCO
1806,895,MDA
1806,628,MDG
1806,1170,MDV
1806,1670,MEX
1806,751,MHL
1806,870,MKD
1806,847,MLI
1806,1080,MLT
1806,1110,MMR
1806,1420,MNE
1806,597,MNG
1806,503,MOZ
1806,652,MRT
1806,1440,MUS
1806,530,MWI
1806,1330,MYS
1806,729,NAM
1806,637,NER
1806,1150,NGA
1806,1350,NIC
1806,5850,NLD
1806,1880,NOR
1806,890,NPL
1806,769,NRU
1806,1140,NZL
1806,490,OMN
1806,1300,PAK
1806,1110,PAN
1806,1440,PER
1806,1290,PHL
1806,1170,PLW
1806,759,PNG
1806,1080,POL
1806,1060,
1806,1960,PRT
1806,1080,PRY
1806,1220,
1806,1560,QAT
1806,576,ROU
1806,1940,RUS
1806,615,RWA
1806,1090,SAU
1806,684,SDN
1806,695,SEN
1806,1130,SGP
1806,504,SLB
1806,1010,SLE
1806,1210,SLV
1806,1970,SMR
1806,969,SOM
1806,1790,SRB
1806,705,SSD
1806,1090,STP
1806,2270,SUR
1806,1740,
1806,2140,SVN
1806,1960,SWE
1806,644,SWZ
1806,1100,SYC
1806,1500,SYR
1806,504,TCD
1806,913,TGO
1806,1260,THA
1806,779,TJK
1806,1330,TKM
1806,731,TLS
1806,920,TON
1806,1730,TTO
1806,948,TUN
1806,1340,TUR
1806,998,TUV
1806,1340,TWN
1806,593,TZA
1806,662,UGA
1806,1080,UKR
1806,2610,URY
1806,3730,USA
1806,743,UZB
1806,1160,VCT
1806,1440,VEN
1806,1170,VNM
1806,813,VUT
1806,1940,WSM
1806,1240,YEM
1806,1920,ZAF
1806,656,ZMB
1806,1180,ZWE
1807,583,AFG
1807,466,AGO
1807,581,ALB
1807,1680,AND
1807,1420,ARE
1807,2110,ARG
1807,727,ARM
1807,1050,ATG
1807,1040,AUS
1807,2420,AUT
1807,880,AZE
1807,649,BDI
1807,3250,BEL
1807,1010,BEN
1807,734,BFA
1807,935,BGD
1807,1390,BGR
1807,1060,BHR
1807,2010,BHS
1807,1200,BIH
1807,1110,BLR
1807,804,BLZ
1807,1120,BOL
1807,1200,BRA
1807,1590,BRB
1807,2100,BRN
1807,874,BTN
1807,444,BWA
1807,594,CAF
1807,1790,CAN
1807,2730,CHE
1807,1180,CHL
1807,1260,CHN
1807,708,
1807,734,CMR
1807,430,
1807,710,
1807,1260,COL
1807,723,COM
1807,597,CPV
1807,1110,CRI
1807,910,CUB
1807,1180,CYP
1807,1980,CZE
1807,2180,DEU
1807,1160,DJI
1807,652,DMA
1807,2510,DNK
1807,791,DOM
1807,934,DZA
1807,636,ECU
1807,1320,EGY
1807,740,ERI
1807,2090,ESP
1807,1950,EST
1807,868,ETH
1807,1730,FIN
1807,1090,FJI
1807,2490,FRA
1807,722,
1807,610,GAB
1807,4790,GBR
1807,944,GEO
1807,924,GHA
1807,527,GIN
1807,968,GMB
1807,596,GNB
1807,445,GNQ
1807,1630,GRC
1807,1330,GRD
1807,1240,GTM
1807,1690,GUY
1807,1650,
1807,895,HND
1807,1160,HRV
1807,880,HTI
1807,1530,HUN
1807,1210,IDN
1807,1390,IND
1807,1680,IRL
1807,1220,IRN
1807,1210,IRQ
1807,1390,ISL
1807,1310,ISR
1807,3620,ITA
1807,1550,JAM
1807,1220,JOR
1807,1830,JPN
1807,1440,KAZ
1807,894,KEN
1807,741,
1807,869,KHM
1807,769,KIR
1807,1620,
1807,1130,KOR
1807,1560,KWT
1807,1030,
1807,1490,LBN
1807,1150,LBR
1807,1250,LBY
1807,784,
1807,1220,LKA
1807,533,LSO
1807,1690,LTU
1807,2190,LUX
1807,1190,LVA
1807,967,MAR
1807,2730,MCO
1807,899,MDA
1807,628,MDG
1807,1170,MDV
1807,1630,MEX
1807,751,MHL
1807,870,MKD
1807,847,MLI
1807,1080,MLT
1807,1110,MMR
1807,1410,MNE
1807,597,MNG
