pop,ISO3
81.3k,KWT
470k,
309k,LBN
314k,LBR
231k,LBY
24k,
5800,LIE
1.57M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.56M,MAR
7790,MCO
713k,MDA
1.55M,MDG
42.4k,MDV
5.51M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
5.11M,MMR
127k,MNE
606k,MNG
2.03M,MOZ
383k,MRT
69.8k,MUS
838k,MWI
287k,MYS
211k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.03M,NLD
891k,NOR
3.96M,NPL
1830,NRU
162k,NZL
305k,OMN
13.3M,PAK
79k,PAN
1.28M,PER
2.14M,PHL
3880,PLW
755k,PNG
9.41M,POL
4.34M,
2.9M,PRT
240k,PRY
166k,
14.1k,QAT
5.75M,ROU
31.3M,RUS
928k,RWA
2.03M,SAU
4.03M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
194k,SLV
5490,SMR
991k,SOM
2.15M,SRB
1.04M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.44M,SWE
83.3k,SWZ
12.5k,SYC
1.28M,SYR
1.47M,TCD
446k,TGO
3.42M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
27.8k,TTO
822k,TUN
9.85M,TUR
2500,TUV
2M,TWN
3.01M,TZA
2.37M,UGA
11.2M,UKR
55k,URY
6.72M,USA
1.92M,UZB
25.8k,VCT
876k,VEN
4.64M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.48M,ZAF
818k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
413k,ALB
2650,AND
40.2k,ARE
441k,ARG
413k,ARM
37k,ATG
239k,AUS
3.12M,AUT
880k,AZE
899k,BDI
3.31M,BEL
637k,BEN
1.67M,BFA
19.5M,BGD
2.23M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
956k,BOL
3.07M,BRA
81.7k,BRB
2260,BRN
392k,BTN
118k,BWA
479k,CAF
594k,CAN
1.83M,CHE
771k,CHL
341M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
56.3k,CRI
458k,CUB
185k,CYP
5.52M,CZE
20.2M,DEU
22.8k,DJI
19.9k,DMA
1.05M,DNK
125k,DOM
2.56M,DZA
500k,ECU
3.73M,EGY
205k,ERI
11.7M,ESP
334k,EST
12M,ETH
914k,FIN
132k,FJI
29.8M,FRA
16.4k,
158k,GAB
11.6M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.27M,GRC
29.4k,GRD
507k,GTM
166k,GUY
20k,
132k,HND
905,
1.23M,HRV
569k,HTI
3.54M,HUN
16.4M,IDN
204M,IND
5.84M,IRL
6.19M,IRN
1.03M,IRQ
61.4k,ISL
210k,ISR
19.4M,ITA
332k,JAM
206k,JOR
29M,JPN
2.04M,KAZ
2.67M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
311k,LBN
314k,LBR
231k,LBY
24k,
5800,LIE
1.54M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.56M,MAR
7790,MCO
713k,MDA
1.56M,MDG
42.4k,MDV
5.58M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
4.97M,MMR
127k,MNE
607k,MNG
2.03M,MOZ
383k,MRT
71.7k,MUS
856k,MWI
287k,MYS
209k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.03M,NLD
889k,NOR
3.96M,NPL
1830,NRU
157k,NZL
306k,OMN
13.3M,PAK
79.5k,PAN
1.29M,PER
2.09M,PHL
3880,PLW
755k,PNG
9.48M,POL
4.34M,
2.93M,PRT
231k,PRY
166k,
14.1k,QAT
5.8M,ROU
31.3M,RUS
928k,RWA
2.03M,SAU
4.03M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
186k,SLV
5490,SMR
992k,SOM
2.15M,SRB
1.04M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.43M,SWE
82.9k,SWZ
12.5k,SYC
1.28M,SYR
1.48M,TCD
446k,TGO
3.5M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
29.4k,TTO
825k,TUN
9.87M,TUR
2500,TUV
2M,TWN
3.01M,TZA
2.35M,UGA
11.2M,UKR
55k,URY
6.84M,USA
1.92M,UZB
25.8k,VCT
857k,VEN
4.75M,VNM
27.8k,VUT
47.2k,WSM
2.59M,YEM
1.49M,ZAF
831k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
414k,ALB
2650,AND
40.2k,ARE
429k,ARG
413k,ARM
37k,ATG
246k,AUS
3.14M,AUT
880k,AZE
899k,BDI
3.32M,BEL
637k,BEN
1.67M,BFA
19.5M,BGD
2.22M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
967k,BOL
3.16M,BRA
81.7k,BRB
2260,BRN
392k,BTN
117k,BWA
479k,CAF
608k,CAN
1.84M,CHE
771k,CHL
343M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
56.8k,CRI
493k,CUB
185k,CYP
5.52M,CZE
20.5M,DEU
22.8k,DJI
19.9k,DMA
1.06M,DNK
122k,DOM
2.57M,DZA
500k,ECU
3.76M,EGY
205k,ERI
11.8M,ESP
334k,EST
12M,ETH
931k,FIN
132k,FJI
29.9M,FRA
16.4k,
158k,GAB
11.7M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.27M,GRC
29.4k,GRD
514k,GTM
166k,GUY
20k,
132k,HND
905,
1.23M,HRV
579k,HTI
3.58M,HUN
16.4M,IDN
204M,IND
5.92M,IRL
6.22M,IRN
1.04M,IRQ
61.4k,ISL
210k,ISR
19.5M,ITA
337k,JAM
207k,JOR
29.2M,JPN
2.04M,KAZ
2.69M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
312k,LBN
314k,LBR
231k,LBY
24k,
5800,LIE
1.51M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.57M,MAR
7790,MCO
713k,MDA
1.57M,MDG
42.4k,MDV
5.65M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
4.84M,MMR
127k,MNE
608k,MNG
2.04M,MOZ
383k,MRT
73.8k,MUS
875k,MWI
287k,MYS
206k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.04M,NLD
888k,NOR
3.95M,NPL
1830,NRU
152k,NZL
307k,OMN
13.3M,PAK
80.1k,PAN
1.29M,PER
2.04M,PHL
3880,PLW
755k,PNG
9.55M,POL
4.34M,
2.96M,PRT
223k,PRY
166k,
14.1k,QAT
5.84M,ROU
31.3M,RUS
928k,RWA
2.04M,SAU
4.04M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
179k,SLV
5490,SMR
992k,SOM
2.15M,SRB
1.04M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.42M,SWE
82.5k,SWZ
12.5k,SYC
1.28M,SYR
1.48M,TCD
446k,TGO
3.58M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
31k,TTO
829k,TUN
9.88M,TUR
2500,TUV
2M,TWN
3.01M,TZA
2.33M,UGA
11.2M,UKR
55k,URY
6.97M,USA
1.92M,UZB
25.8k,VCT
838k,VEN
4.87M,VNM
27.8k,VUT
47.2k,WSM
2.59M,YEM
1.49M,ZAF
843k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
416k,ALB
2650,AND
40.2k,ARE
417k,ARG
413k,ARM
37k,ATG
252k,AUS
3.16M,AUT
880k,AZE
899k,BDI
3.33M,BEL
637k,BEN
1.67M,BFA
19.5M,BGD
2.22M,BGR
